Country,Gold,Silver,Bronze,Total,season
Norway,16,8,13,37,Winter
Germany,12,10,5,27,Winter
People's Republic of China,9,4,2,15,Winter
United States of America,8,10,7,25,Winter
Sweden,8,5,5,18,Winter
Netherlands,8,5,4,17,Winter
Austria,7,7,4,18,Winter
Switzerland,7,2,5,14,Winter
ROC,6,12,14,32,Winter
France,5,7,2,14,Winter
Canada,4,8,14,26,Winter
Japan,3,6,9,18,Winter
Italy,2,7,8,17,Winter
Republic of Korea,2,5,2,9,Winter
Slovenia,2,3,2,7,Winter
Finland,2,2,4,8,Winter
New Zealand,2,1,0,3,Winter
Australia,1,2,1,4,Winter
Great Britain,1,1,0,2,Winter
Hungary,1,0,2,3,Winter
Belgium,1,0,1,2,Winter
Czech Republic,1,0,1,2,Winter
Slovakia,1,0,1,2,Winter
Belarus,0,2,0,2,Winter
Spain,0,1,0,1,Winter
Ukraine,0,1,0,1,Winter
Estonia,0,0,1,1,Winter
Latvia,0,0,1,1,Winter
Poland,0,0,1,1,Winter
United States,40,44,42,126,Summer
China,40,27,24,91,Summer
Japan,20,12,13,45,Summer
Australia,18,19,16,53,Summer
France,16,26,22,64,Summer
Netherlands,15,7,12,34,Summer
Great Britain,14,22,29,65,Summer
Korea,13,9,10,32,Summer
Italy,12,13,15,40,Summer
Germany,12,13,8,33,Summer
New Zealand,10,7,3,20,Summer
Canada,9,7,11,27,Summer
Uzbekistan,8,2,3,13,Summer
Hungary,6,7,6,19,Summer
Spain,5,4,9,18,Summer
Sweden,4,4,3,11,Summer
Kenya,4,2,5,11,Summer
Norway,4,1,3,8,Summer
Ireland,4,0,3,7,Summer
Brazil,3,7,10,20,Summer
IR Iran,3,6,3,12,Summer
Ukraine,3,5,4,12,Summer
Romania,3,4,2,9,Summer
Georgia,3,3,1,7,Summer
Belgium,3,1,6,10,Summer
Bulgaria,3,1,3,7,Summer
Serbia,3,1,1,5,Summer
Czechia,3,0,2,5,Summer
Denmark,2,2,5,9,Summer
Azerbaijan,2,2,3,7,Summer
Croatia,2,2,3,7,Summer
Cuba,2,1,6,9,Summer
Bahrain,2,1,1,4,Summer
Slovenia,2,1,0,3,Summer
Chinese Taipei,2,0,5,7,Summer
Austria,2,0,3,5,Summer
"Hong Kong, China",2,0,2,4,Summer
Philippines,2,0,2,4,Summer
Algeria,2,0,1,3,Summer
Indonesia,2,0,0,2,Summer
Israel,1,5,1,7,Summer
Poland,1,4,5,10,Summer
Kazakhstan,1,3,3,7,Summer
Jamaica,1,3,2,6,Summer
South Africa,1,3,2,6,Summer
Thailand,1,3,2,6,Summer
AIN,1,3,1,5,Summer
Ethiopia,1,3,0,4,Summer
Switzerland,1,2,5,8,Summer
Ecuador,1,2,2,5,Summer
Portugal,1,2,1,4,Summer
Greece,1,1,6,8,Summer
Argentina,1,1,1,3,Summer
Egypt,1,1,1,3,Summer
Tunisia,1,1,1,3,Summer
Botswana,1,1,0,2,Summer
Chile,1,1,0,2,Summer
Saint Lucia,1,1,0,2,Summer
Uganda,1,1,0,2,Summer
Dominican Republic,1,0,2,3,Summer
Guatemala,1,0,1,2,Summer
Morocco,1,0,1,2,Summer
Dominica,1,0,0,1,Summer
Pakistan,1,0,0,1,Summer
Türkiye,0,3,5,8,Summer
Mexico,0,3,2,5,Summer
Armenia,0,3,1,4,Summer
Colombia,0,3,1,4,Summer
DPR Korea,0,2,4,6,Summer
Kyrgyzstan,0,2,4,6,Summer
Lithuania,0,2,2,4,Summer
India,0,1,5,6,Summer
Republic of Moldova,0,1,3,4,Summer
Kosovo,0,1,1,2,Summer
Cyprus,0,1,0,1,Summer
Fiji,0,1,0,1,Summer
Jordan,0,1,0,1,Summer
Mongolia,0,1,0,1,Summer
Panama,0,1,0,1,Summer
Tajikistan,0,0,3,3,Summer
Albania,0,0,2,2,Summer
Grenada,0,0,2,2,Summer
Malaysia,0,0,2,2,Summer
Puerto Rico,0,0,2,2,Summer
Cabo Verde,0,0,1,1,Summer
Côte d'Ivoire,0,0,1,1,Summer
EOR,0,0,1,1,Summer
Peru,0,0,1,1,Summer
Qatar,0,0,1,1,Summer
Singapore,0,0,1,1,Summer
Slovakia,0,0,1,1,Summer
Zambia,0,0,1,1,Summer
